,WaterYear,WaterYFS,Total_cfs,n
1,1988,0,293619,366
2,1989,1,325950,365
3,1990,2,338304,365
4,1991,3,330446,365
5,1992,4,281870,366
6,1993,5,305128,365
7,1994,6,237347,365
8,1995,7,450653,365
9,1996,8,620158,366
10,1997,9,643695,365
11,1998,10,522627,365
12,1999,11,603352,365
13,2000,12,481910,366
14,2001,13,241604,365
15,2002,14,427740,365
16,2003,15,395903,365
17,2004,16,322507,366
18,2005,17,278868,365
19,2006,18,440095,365
20,2007,19,404715,365
21,2008,20,395159,366
22,2009,21,364866,365
23,2010,22,379472,365
24,2011,23,510784,365
25,2012,24,451124,366
26,2013,25,400142,365
27,2014,26,408957,365
28,2015,27,332513,365
29,2016,28,487020,366
30,2017,29,536692,365
31,2018,30,427843,365
32,2019,31,304860,365
